Sensor 1,,Sensor 2,,Sensor 3,,Calibration Curve,
Concentration (mM),?I/I0,Concentration (mM),?I/I0,Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted
,,,,,,2.59E+00,4.35E-02
,,,,,,2.54E+00,4.33E-02
,,,,,,2.49E+00,4.31E-02
,,,,,,2.44E+00,4.29E-02
,,,,,,2.39E+00,4.26E-02
,,,,,,2.34E+00,4.24E-02
,,,,,,2.29E+00,4.22E-02
,,,,,,2.24E+00,4.20E-02
,,,,,,2.19E+00,4.17E-02
,,,,,,2.14E+00,4.15E-02
,,,,,,2.09E+00,4.12E-02
,,,,,,2.04E+00,4.10E-02
,,,,,,1.99E+00,4.07E-02
,,,,,,1.94E+00,4.04E-02
,,,,,,1.89E+00,4.02E-02
,,,,,,1.84E+00,3.99E-02
,,,,,,1.79E+00,3.96E-02
,,,,,,1.74E+00,3.93E-02
,,,,,,1.69E+00,3.90E-02
,,,,,,1.64E+00,3.87E-02
,,,,,,1.59E+00,3.83E-02
,,,,,,1.54E+00,3.80E-02
,,,,,,1.49E+00,3.77E-02
,,,,,,1.44E+00,3.73E-02
,,,,,,1.39E+00,3.69E-02
,,,,,,1.34E+00,3.65E-02
,,,,,,1.29E+00,3.61E-02
,,,,,,1.24E+00,3.57E-02
,,,,,,1.19E+00,3.53E-02
,,,,,,1.14E+00,3.48E-02
,,,,,,1.09E+00,3.44E-02
,,,,,,1.05E+00,3.39E-02
,,,,,,9.95E-01,3.34E-02
,,,,,,9.46E-01,3.28E-02
,,,,,,8.96E-01,3.22E-02
,,,,,,8.46E-01,3.16E-02
,,,,,,7.96E-01,3.10E-02
,,,,,,7.47E-01,3.03E-02
,,,,,,6.97E-01,2.96E-02
,,,,,,6.47E-01,2.88E-02
,,,,,,5.97E-01,2.80E-02
,,,,,,5.48E-01,2.70E-02
,,,,,,4.98E-01,2.60E-02
,,,,,,4.48E-01,2.49E-02
,,,,,,3.98E-01,2.37E-02
,,,,,,3.49E-01,2.22E-02
,,,,,,2.99E-01,2.06E-02
,,,,,,2.49E-01,1.87E-02
,,,,,,1.99E-01,1.63E-02
,,,,,,1.50E-01,1.33E-02
,,,,,,1.00E-01,8.99E-03
