CaCl2,,,,NH4Cl,,,,NaCl,,,,KCl,,,
Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted,Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted,Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted,Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted
,,2.19E+00,2.65E-01,,,2.19E+00,2.69E-01,,,2.19E+00,2.71E-01,,,2.19E+00,2.31E-01
,,2.24E+00,2.65E-01,,,2.24E+00,2.69E-01,,,2.24E+00,2.71E-01,,,2.24E+00,2.31E-01
,,2.29E+00,2.65E-01,,,2.29E+00,2.69E-01,,,2.29E+00,2.71E-01,,,2.29E+00,2.31E-01
,,2.34E+00,2.65E-01,,,2.34E+00,2.69E-01,,,2.34E+00,2.72E-01,,,2.34E+00,2.31E-01
,,2.39E+00,2.65E-01,,,2.39E+00,2.69E-01,,,2.39E+00,2.72E-01,,,2.39E+00,2.31E-01
,,2.44E+00,2.66E-01,,,2.44E+00,2.69E-01,,,2.44E+00,2.72E-01,,,2.44E+00,2.31E-01
,,2.49E+00,2.66E-01,,,2.49E+00,2.70E-01,,,2.49E+00,2.72E-01,,,2.49E+00,2.31E-01
,,2.54E+00,2.66E-01,,,2.54E+00,2.70E-01,,,2.54E+00,2.72E-01,,,2.54E+00,2.32E-01
,,2.59E+00,2.66E-01,,,2.59E+00,2.70E-01,,,2.59E+00,2.72E-01,,,2.59E+00,2.32E-01
,,2.64E+00,2.66E-01,,,2.64E+00,2.70E-01,,,2.64E+00,2.72E-01,,,2.64E+00,2.32E-01
,,2.69E+00,2.66E-01,,,2.69E+00,2.70E-01,,,2.69E+00,2.73E-01,,,2.69E+00,2.32E-01
,,2.74E+00,2.67E-01,,,2.74E+00,2.70E-01,,,2.74E+00,2.73E-01,,,2.74E+00,2.32E-01
,,2.79E+00,2.67E-01,,,2.79E+00,2.70E-01,,,2.79E+00,2.73E-01,,,2.79E+00,2.32E-01
,,2.84E+00,2.67E-01,,,2.84E+00,2.70E-01,,,2.84E+00,2.73E-01,,,2.84E+00,2.32E-01
,,2.89E+00,2.67E-01,,,2.89E+00,2.70E-01,,,2.89E+00,2.73E-01,,,2.89E+00,2.32E-01
,,2.94E+00,2.67E-01,,,2.94E+00,2.70E-01,,,2.94E+00,2.73E-01,,,2.94E+00,2.32E-01
,,2.99E+00,2.67E-01,,,2.99E+00,2.70E-01,,,2.99E+00,2.73E-01,,,2.99E+00,2.32E-01
,,3.04E+00,2.67E-01,,,3.04E+00,2.70E-01,,,3.04E+00,2.73E-01,,,3.04E+00,2.33E-01
,,3.08E+00,2.68E-01,,,3.08E+00,2.71E-01,,,3.08E+00,2.74E-01,,,3.08E+00,2.33E-01
,,3.13E+00,2.68E-01,,,3.13E+00,2.71E-01,,,3.13E+00,2.74E-01,,,3.13E+00,2.33E-01
,,3.18E+00,2.68E-01,,,3.18E+00,2.71E-01,,,3.18E+00,2.74E-01,,,3.18E+00,2.33E-01
,,3.23E+00,2.68E-01,,,3.23E+00,2.71E-01,,,3.23E+00,2.74E-01,,,3.23E+00,2.33E-01
,,3.28E+00,2.68E-01,,,3.28E+00,2.71E-01,,,3.28E+00,2.74E-01,,,3.28E+00,2.33E-01
,,3.33E+00,2.68E-01,,,3.33E+00,2.71E-01,,,3.33E+00,2.74E-01,,,3.33E+00,2.33E-01
,,3.38E+00,2.68E-01,,,3.38E+00,2.71E-01,,,3.38E+00,2.74E-01,,,3.38E+00,2.33E-01
,,3.43E+00,2.68E-01,,,3.43E+00,2.71E-01,,,3.43E+00,2.74E-01,,,3.43E+00,2.33E-01
,,3.48E+00,2.69E-01,,,3.48E+00,2.71E-01,,,3.48E+00,2.74E-01,,,3.48E+00,2.33E-01
,,3.53E+00,2.69E-01,,,3.53E+00,2.71E-01,,,3.53E+00,2.74E-01,,,3.53E+00,2.33E-01
,,3.58E+00,2.69E-01,,,3.58E+00,2.71E-01,,,3.58E+00,2.75E-01,,,3.58E+00,2.33E-01
,,3.63E+00,2.69E-01,,,3.63E+00,2.71E-01,,,3.63E+00,2.75E-01,,,3.63E+00,2.33E-01
,,3.68E+00,2.69E-01,,,3.68E+00,2.71E-01,,,3.68E+00,2.75E-01,,,3.68E+00,2.34E-01
,,3.73E+00,2.69E-01,,,3.73E+00,2.71E-01,,,3.73E+00,2.75E-01,,,3.73E+00,2.34E-01
,,3.78E+00,2.69E-01,,,3.78E+00,2.72E-01,,,3.78E+00,2.75E-01,,,3.78E+00,2.34E-01
,,3.83E+00,2.69E-01,,,3.83E+00,2.72E-01,,,3.83E+00,2.75E-01,,,3.83E+00,2.34E-01
,,3.88E+00,2.70E-01,,,3.88E+00,2.72E-01,,,3.88E+00,2.75E-01,,,3.88E+00,2.34E-01
,,3.93E+00,2.70E-01,,,3.93E+00,2.72E-01,,,3.93E+00,2.75E-01,,,3.93E+00,2.34E-01
,,3.98E+00,2.70E-01,,,3.98E+00,2.72E-01,,,3.98E+00,2.75E-01,,,3.98E+00,2.34E-01
,,4.03E+00,2.70E-01,,,4.03E+00,2.72E-01,,,4.03E+00,2.75E-01,,,4.03E+00,2.34E-01
,,4.08E+00,2.70E-01,,,4.08E+00,2.72E-01,,,4.08E+00,2.76E-01,,,4.08E+00,2.34E-01
,,4.13E+00,2.70E-01,,,4.13E+00,2.72E-01,,,4.13E+00,2.76E-01,,,4.13E+00,2.34E-01
