Vgs (V),Vds (V),Ids (A)
5.00E-01,-3.84E-01,-5.09E-04
5.00E-01,-3.94E-01,-5.11E-04
5.00E-01,-4.04E-01,-5.14E-04
5.00E-01,-4.14E-01,-5.16E-04
5.00E-01,-4.24E-01,-5.17E-04
5.00E-01,-4.34E-01,-5.16E-04
5.00E-01,-4.44E-01,-5.20E-04
5.00E-01,-4.55E-01,-5.22E-04
5.00E-01,-4.65E-01,-5.22E-04
5.00E-01,-4.75E-01,-5.24E-04
5.00E-01,-4.85E-01,-5.24E-04
5.00E-01,-4.95E-01,-5.25E-04
5.00E-01,-5.05E-01,-5.25E-04
5.00E-01,-5.15E-01,-5.26E-04
5.00E-01,-5.25E-01,-5.26E-04
5.00E-01,-5.35E-01,-5.23E-04
5.00E-01,-5.45E-01,-5.27E-04
5.00E-01,-5.56E-01,-5.25E-04
5.00E-01,-5.66E-01,-5.26E-04
5.00E-01,-5.76E-01,-5.26E-04
5.00E-01,-5.86E-01,-5.26E-04
5.00E-01,-5.96E-01,-5.26E-04
5.00E-01,-6.06E-01,-5.26E-04
5.00E-01,-6.16E-01,-5.26E-04
5.00E-01,-6.26E-01,-5.25E-04
5.00E-01,-6.36E-01,-5.22E-04
5.00E-01,-6.46E-01,-5.24E-04
5.00E-01,-6.57E-01,-5.23E-04
5.00E-01,-6.67E-01,-5.23E-04
5.00E-01,-6.77E-01,-5.23E-04
5.00E-01,-6.87E-01,-5.22E-04
5.00E-01,-6.97E-01,-5.22E-04
5.00E-01,-7.07E-01,-5.21E-04
5.00E-01,-7.17E-01,-5.22E-04
5.00E-01,-7.27E-01,-5.20E-04
5.00E-01,-7.37E-01,-5.18E-04
5.00E-01,-7.47E-01,-5.20E-04
5.00E-01,-7.58E-01,-5.19E-04
5.00E-01,-7.68E-01,-5.19E-04
5.00E-01,-7.78E-01,-5.20E-04
5.00E-01,-7.88E-01,-5.18E-04
5.00E-01,-7.98E-01,-5.18E-04
6.00E-01,-6.91E-05,1.15E-07
6.00E-01,-1.00E-02,-1.58E-05
6.00E-01,-2.02E-02,-3.12E-05
6.00E-01,-3.03E-02,-4.58E-05
6.00E-01,-4.04E-02,-5.96E-05
6.00E-01,-5.05E-02,-7.23E-05
6.00E-01,-6.06E-02,-8.52E-05
6.00E-01,-7.07E-02,-9.71E-05
6.00E-01,-8.08E-02,-1.08E-04
6.00E-01,-9.09E-02,-1.19E-04
6.00E-01,-1.01E-01,-1.28E-04
6.00E-01,-1.11E-01,-1.37E-04
6.00E-01,-1.21E-01,-1.46E-04
6.00E-01,-1.31E-01,-1.54E-04
6.00E-01,-1.41E-01,-1.61E-04
6.00E-01,-1.52E-01,-1.67E-04
6.00E-01,-1.62E-01,-1.74E-04
6.00E-01,-1.72E-01,-1.80E-04
6.00E-01,-1.82E-01,-1.86E-04
6.00E-01,-1.92E-01,-1.91E-04
6.00E-01,-2.02E-01,-1.95E-04
6.00E-01,-2.12E-01,-1.99E-04
6.00E-01,-2.22E-01,-2.03E-04
6.00E-01,-2.32E-01,-2.07E-04
6.00E-01,-2.42E-01,-2.10E-04
6.00E-01,-2.53E-01,-2.12E-04
6.00E-01,-2.63E-01,-2.16E-04
6.00E-01,-2.73E-01,-2.18E-04
6.00E-01,-2.83E-01,-2.21E-04
6.00E-01,-2.93E-01,-2.23E-04
6.00E-01,-3.03E-01,-2.25E-04
6.00E-01,-3.13E-01,-2.27E-04
6.00E-01,-3.23E-01,-2.28E-04
6.00E-01,-3.33E-01,-2.29E-04
6.00E-01,-3.43E-01,-2.30E-04
6.00E-01,-3.54E-01,-2.30E-04
6.00E-01,-3.64E-01,-2.32E-04
6.00E-01,-3.74E-01,-2.33E-04
6.00E-01,-3.84E-01,-2.34E-04
6.00E-01,-3.94E-01,-2.35E-04
6.00E-01,-4.04E-01,-2.35E-04
6.00E-01,-4.14E-01,-2.35E-04
6.00E-01,-4.24E-01,-2.35E-04
6.00E-01,-4.34E-01,-2.35E-04
6.00E-01,-4.44E-01,-2.36E-04
6.00E-01,-4.55E-01,-2.36E-04
6.00E-01,-4.65E-01,-2.36E-04
6.00E-01,-4.75E-01,-2.36E-04
6.00E-01,-4.85E-01,-2.36E-04
6.00E-01,-4.95E-01,-2.36E-04
6.00E-01,-5.05E-01,-2.36E-04
6.00E-01,-5.15E-01,-2.36E-04
6.00E-01,-5.25E-01,-2.35E-04
6.00E-01,-5.35E-01,-2.36E-04
6.00E-01,-5.45E-01,-2.35E-04
6.00E-01,-5.56E-01,-2.35E-04
6.00E-01,-5.66E-01,-2.34E-04
6.00E-01,-5.76E-01,-2.35E-04
6.00E-01,-5.86E-01,-2.34E-04
6.00E-01,-5.96E-01,-2.34E-04
6.00E-01,-6.06E-01,-2.34E-04
6.00E-01,-6.16E-01,-2.34E-04
6.00E-01,-6.26E-01,-2.34E-04
6.00E-01,-6.36E-01,-2.34E-04
6.00E-01,-6.46E-01,-2.34E-04
6.00E-01,-6.57E-01,-2.33E-04
6.00E-01,-6.67E-01,-2.33E-04
6.00E-01,-6.77E-01,-2.33E-04
6.00E-01,-6.87E-01,-2.34E-04
6.00E-01,-6.97E-01,-2.34E-04
6.00E-01,-7.07E-01,-2.34E-04
6.00E-01,-7.17E-01,-2.35E-04
6.00E-01,-7.27E-01,-2.36E-04
6.00E-01,-7.37E-01,-2.37E-04
6.00E-01,-7.47E-01,-2.38E-04
6.00E-01,-7.58E-01,-2.38E-04
6.00E-01,-7.68E-01,-2.39E-04
6.00E-01,-7.78E-01,-2.40E-04
6.00E-01,-7.88E-01,-2.42E-04
6.00E-01,-7.98E-01,-2.43E-04
7.00E-01,1.10E-06,3.07E-08
7.00E-01,-1.01E-02,-7.47E-06
7.00E-01,-2.02E-02,-1.38E-05
7.00E-01,-3.03E-02,-1.99E-05
7.00E-01,-4.04E-02,-2.54E-05
7.00E-01,-5.05E-02,-3.04E-05
7.00E-01,-6.06E-02,-3.50E-05
7.00E-01,-7.07E-02,-3.92E-05
7.00E-01,-8.08E-02,-4.32E-05
7.00E-01,-9.09E-02,-4.68E-05
7.00E-01,-1.01E-01,-5.01E-05
7.00E-01,-1.11E-01,-5.32E-05
7.00E-01,-1.21E-01,-5.59E-05
7.00E-01,-1.31E-01,-5.84E-05
7.00E-01,-1.41E-01,-6.09E-05
7.00E-01,-1.52E-01,-6.27E-05
7.00E-01,-1.62E-01,-6.47E-05
7.00E-01,-1.72E-01,-6.63E-05
7.00E-01,-1.82E-01,-6.79E-05
7.00E-01,-1.92E-01,-6.91E-05
7.00E-01,-2.02E-01,-7.05E-05
7.00E-01,-2.12E-01,-7.14E-05
7.00E-01,-2.22E-01,-7.23E-05
7.00E-01,-2.32E-01,-7.29E-05
7.00E-01,-2.42E-01,-7.36E-05
7.00E-01,-2.53E-01,-7.43E-05
7.00E-01,-2.63E-01,-7.47E-05
7.00E-01,-2.73E-01,-7.50E-05
7.00E-01,-2.83E-01,-7.53E-05
7.00E-01,-2.93E-01,-7.57E-05
7.00E-01,-3.03E-01,-7.58E-05
7.00E-01,-3.13E-01,-7.58E-05
7.00E-01,-3.23E-01,-7.61E-05
7.00E-01,-3.33E-01,-7.63E-05
7.00E-01,-3.43E-01,-7.64E-05
7.00E-01,-3.54E-01,-7.63E-05
7.00E-01,-3.64E-01,-7.62E-05
7.00E-01,-3.74E-01,-7.62E-05
7.00E-01,-3.84E-01,-7.62E-05
7.00E-01,-3.94E-01,-7.60E-05
7.00E-01,-4.04E-01,-7.59E-05
7.00E-01,-4.14E-01,-7.58E-05
7.00E-01,-4.24E-01,-7.57E-05
7.00E-01,-4.34E-01,-7.57E-05
7.00E-01,-4.44E-01,-7.54E-05
7.00E-01,-4.55E-01,-7.52E-05
7.00E-01,-4.65E-01,-7.51E-05
7.00E-01,-4.75E-01,-7.51E-05
7.00E-01,-4.85E-01,-7.50E-05
7.00E-01,-4.95E-01,-7.48E-05
7.00E-01,-5.05E-01,-7.47E-05
7.00E-01,-5.15E-01,-7.46E-05
7.00E-01,-5.25E-01,-7.45E-05
7.00E-01,-5.35E-01,-7.46E-05
7.00E-01,-5.45E-01,-7.44E-05
7.00E-01,-5.56E-01,-7.44E-05
7.00E-01,-5.66E-01,-7.44E-05
7.00E-01,-5.76E-01,-7.44E-05
7.00E-01,-5.86E-01,-7.45E-05
7.00E-01,-5.96E-01,-7.44E-05
7.00E-01,-6.06E-01,-7.47E-05
7.00E-01,-6.16E-01,-7.48E-05
7.00E-01,-6.26E-01,-7.48E-05
7.00E-01,-6.36E-01,-7.55E-05
7.00E-01,-6.46E-01,-7.57E-05
7.00E-01,-6.57E-01,-7.60E-05
7.00E-01,-6.67E-01,-7.66E-05
7.00E-01,-6.77E-01,-7.69E-05
7.00E-01,-6.87E-01,-7.76E-05
7.00E-01,-6.97E-01,-7.81E-05
7.00E-01,-7.07E-01,-7.89E-05
7.00E-01,-7.17E-01,-7.95E-05
7.00E-01,-7.27E-01,-8.04E-05
7.00E-01,-7.37E-01,-8.15E-05
7.00E-01,-7.47E-01,-8.23E-05
7.00E-01,-7.58E-01,-8.34E-05
7.00E-01,-7.68E-01,-8.45E-05
7.00E-01,-7.78E-01,-8.57E-05
7.00E-01,-7.88E-01,-8.71E-05
7.00E-01,-7.98E-01,-8.81E-05
8.00E-01,1.63E-05,-3.56E-08
8.00E-01,-1.01E-02,-1.93E-06
8.00E-01,-2.02E-02,-3.36E-06
8.00E-01,-3.03E-02,-4.64E-06
8.00E-01,-4.04E-02,-5.79E-06
8.00E-01,-5.05E-02,-6.80E-06
8.00E-01,-6.06E-02,-7.68E-06
8.00E-01,-7.07E-02,-8.49E-06
8.00E-01,-8.08E-02,-9.18E-06
8.00E-01,-9.09E-02,-9.61E-06
8.00E-01,-1.01E-01,-1.03E-05
8.00E-01,-1.11E-01,-1.06E-05
8.00E-01,-1.21E-01,-1.11E-05
8.00E-01,-1.31E-01,-1.15E-05
8.00E-01,-1.41E-01,-1.17E-05
8.00E-01,-1.52E-01,-1.19E-05
8.00E-01,-1.62E-01,-1.21E-05
8.00E-01,-1.72E-01,-1.22E-05
8.00E-01,-1.82E-01,-1.23E-05
8.00E-01,-1.92E-01,-1.22E-05
8.00E-01,-2.02E-01,-1.24E-05
8.00E-01,-2.12E-01,-1.24E-05
8.00E-01,-2.22E-01,-1.24E-05
8.00E-01,-2.32E-01,-1.24E-05
8.00E-01,-2.42E-01,-1.24E-05
8.00E-01,-2.53E-01,-1.23E-05
8.00E-01,-2.63E-01,-1.23E-05
8.00E-01,-2.73E-01,-1.22E-05
8.00E-01,-2.83E-01,-1.22E-05
8.00E-01,-2.93E-01,-1.19E-05
8.00E-01,-3.03E-01,-1.21E-05
8.00E-01,-3.13E-01,-1.20E-05
8.00E-01,-3.23E-01,-1.19E-05
8.00E-01,-3.33E-01,-1.19E-05
8.00E-01,-3.43E-01,-1.18E-05
8.00E-01,-3.54E-01,-1.18E-05
8.00E-01,-3.64E-01,-1.17E-05
8.00E-01,-3.74E-01,-1.16E-05
8.00E-01,-3.84E-01,-1.16E-05
8.00E-01,-3.94E-01,-1.14E-05
8.00E-01,-4.04E-01,-1.15E-05
8.00E-01,-4.14E-01,-1.14E-05
8.00E-01,-4.24E-01,-1.14E-05
8.00E-01,-4.34E-01,-1.13E-05
8.00E-01,-4.44E-01,-1.13E-05
8.00E-01,-4.55E-01,-1.13E-05
8.00E-01,-4.65E-01,-1.12E-05
8.00E-01,-4.75E-01,-1.12E-05
8.00E-01,-4.85E-01,-1.12E-05
8.00E-01,-4.95E-01,-1.12E-05
8.00E-01,-5.05E-01,-1.12E-05
8.00E-01,-5.15E-01,-1.13E-05
8.00E-01,-5.25E-01,-1.14E-05
8.00E-01,-5.35E-01,-1.14E-05
8.00E-01,-5.45E-01,-1.14E-05
8.00E-01,-5.56E-01,-1.16E-05
8.00E-01,-5.66E-01,-1.17E-05
8.00E-01,-5.76E-01,-1.18E-05
8.00E-01,-5.86E-01,-1.20E-05
8.00E-01,-5.96E-01,-1.21E-05
8.00E-01,-6.06E-01,-1.23E-05
8.00E-01,-6.16E-01,-1.25E-05
8.00E-01,-6.26E-01,-1.28E-05
8.00E-01,-6.36E-01,-1.30E-05
8.00E-01,-6.46E-01,-1.33E-05
8.00E-01,-6.57E-01,-1.36E-05
8.00E-01,-6.67E-01,-1.39E-05
8.00E-01,-6.77E-01,-1.43E-05
8.00E-01,-6.87E-01,-1.46E-05
8.00E-01,-6.97E-01,-1.50E-05
8.00E-01,-7.07E-01,-1.54E-05
8.00E-01,-7.17E-01,-1.59E-05
8.00E-01,-7.27E-01,-1.63E-05
8.00E-01,-7.37E-01,-1.68E-05
8.00E-01,-7.47E-01,-1.73E-05
8.00E-01,-7.58E-01,-1.79E-05
8.00E-01,-7.68E-01,-1.85E-05
8.00E-01,-7.78E-01,-1.91E-05
8.00E-01,-7.88E-01,-1.97E-05
8.00E-01,-7.98E-01,-2.04E-05
9.00E-01,0.00E+00,3.47E-08
9.00E-01,-1.01E-02,-1.78E-07
9.00E-01,-2.02E-02,-3.69E-07
9.00E-01,-3.03E-02,-4.54E-07
9.00E-01,-4.04E-02,-5.20E-07
9.00E-01,-5.08E-02,-6.65E-07
9.00E-01,-6.08E-02,-7.07E-07
9.00E-01,-7.09E-02,-7.38E-07
9.00E-01,-8.11E-02,-7.60E-07
9.00E-01,-9.09E-02,-6.63E-07
9.00E-01,-1.01E-01,-7.04E-07
9.00E-01,-1.11E-01,-6.54E-07
9.00E-01,-1.21E-01,-7.07E-07
9.00E-01,-1.31E-01,-6.95E-07
9.00E-01,-1.41E-01,-6.94E-07
9.00E-01,-1.52E-01,-6.89E-07
9.00E-01,-1.62E-01,-6.89E-07
9.00E-01,-1.72E-01,-6.76E-07
9.00E-01,-1.82E-01,-6.69E-07
9.00E-01,-1.92E-01,-6.65E-07
9.00E-01,-2.02E-01,-6.57E-07
9.00E-01,-2.12E-01,-6.08E-07
9.00E-01,-2.22E-01,-6.48E-07
9.00E-01,-2.32E-01,-6.48E-07
9.00E-01,-2.42E-01,-6.39E-07
9.00E-01,-2.53E-01,-6.31E-07
9.00E-01,-2.63E-01,-6.21E-07
9.00E-01,-2.73E-01,-6.25E-07
9.00E-01,-2.83E-01,-6.26E-07
9.00E-01,-2.93E-01,-6.20E-07
9.00E-01,-3.03E-01,-6.21E-07
9.00E-01,-3.13E-01,-5.73E-07
9.00E-01,-3.23E-01,-6.27E-07
9.00E-01,-3.33E-01,-6.14E-07
9.00E-01,-3.43E-01,-6.24E-07
9.00E-01,-3.54E-01,-6.33E-07
9.00E-01,-3.64E-01,-6.40E-07
9.00E-01,-3.74E-01,-6.43E-07
9.00E-01,-3.84E-01,-6.54E-07
9.00E-01,-3.94E-01,-6.61E-07
9.00E-01,-4.04E-01,-6.77E-07
9.00E-01,-4.14E-01,-6.43E-07
9.00E-01,-4.24E-01,-7.10E-07
9.00E-01,-4.34E-01,-7.27E-07
9.00E-01,-4.44E-01,-7.56E-07
9.00E-01,-4.55E-01,-7.85E-07
9.00E-01,-4.65E-01,-8.19E-07
9.00E-01,-4.75E-01,-8.64E-07
9.00E-01,-4.85E-01,-9.08E-07
9.00E-01,-4.95E-01,-9.52E-07
9.00E-01,-5.05E-01,-1.01E-06
9.00E-01,-5.15E-01,-1.04E-06
9.00E-01,-5.25E-01,-1.13E-06
9.00E-01,-5.35E-01,-1.20E-06
9.00E-01,-5.45E-01,-1.28E-06
9.00E-01,-5.56E-01,-1.36E-06
9.00E-01,-5.66E-01,-1.42E-06
9.00E-01,-5.76E-01,-1.54E-06
9.00E-01,-5.86E-01,-1.64E-06
9.00E-01,-5.96E-01,-1.75E-06
9.00E-01,-6.06E-01,-1.88E-06
9.00E-01,-6.16E-01,-1.98E-06
9.00E-01,-6.26E-01,-2.14E-06
9.00E-01,-6.36E-01,-2.28E-06
9.00E-01,-6.46E-01,-2.45E-06
9.00E-01,-6.57E-01,-2.61E-06
9.00E-01,-6.67E-01,-2.79E-06
9.00E-01,-6.77E-01,-2.99E-06
9.00E-01,-6.87E-01,-3.18E-06
9.00E-01,-6.97E-01,-3.39E-06
9.00E-01,-7.07E-01,-3.62E-06
9.00E-01,-7.17E-01,-3.83E-06
9.00E-01,-7.27E-01,-4.10E-06
9.00E-01,-7.37E-01,-4.36E-06
9.00E-01,-7.47E-01,-4.63E-06
9.00E-01,-7.58E-01,-4.91E-06
9.00E-01,-7.68E-01,-5.21E-06
9.00E-01,-7.78E-01,-5.53E-06
9.00E-01,-7.88E-01,-5.85E-06
9.00E-01,-7.98E-01,-6.18E-06
1.00E+00,9.60E-06,1.34E-07
1.00E+00,-1.01E-02,-9.69E-08
1.00E+00,-2.02E-02,-1.45E-07
1.00E+00,-3.03E-02,-1.71E-07
1.00E+00,-4.04E-02,-1.95E-07
1.00E+00,-5.05E-02,-1.88E-07
1.00E+00,-6.06E-02,-2.23E-07
1.00E+00,-7.07E-02,-2.33E-07
1.00E+00,-8.08E-02,-2.35E-07
1.00E+00,-9.11E-02,-3.44E-07
1.00E+00,-1.01E-01,-3.55E-07
1.00E+00,-1.11E-01,-3.57E-07
1.00E+00,-1.21E-01,-3.64E-07
1.00E+00,-1.32E-01,-3.72E-07
1.00E+00,-1.42E-01,-3.77E-07
1.00E+00,-1.52E-01,-3.67E-07
1.00E+00,-1.62E-01,-3.97E-07
1.00E+00,-1.72E-01,-3.98E-07
1.00E+00,-1.82E-01,-4.06E-07
1.00E+00,-1.92E-01,-4.13E-07
1.00E+00,-2.02E-01,-4.16E-07
1.00E+00,-2.12E-01,-4.22E-07
1.00E+00,-2.22E-01,-4.30E-07
1.00E+00,-2.33E-01,-4.34E-07
1.00E+00,-2.43E-01,-4.42E-07
1.00E+00,-2.53E-01,-4.49E-07
1.00E+00,-2.63E-01,-4.60E-07
1.00E+00,-2.73E-01,-4.66E-07
1.00E+00,-2.83E-01,-4.81E-07
1.00E+00,-2.93E-01,-4.92E-07
1.00E+00,-3.03E-01,-5.04E-07
1.00E+00,-3.13E-01,-5.21E-07
1.00E+00,-3.23E-01,-5.41E-07
1.00E+00,-3.34E-01,-5.64E-07
1.00E+00,-3.44E-01,-5.92E-07
1.00E+00,-3.54E-01,-6.25E-07
1.00E+00,-3.64E-01,-6.61E-07
1.00E+00,-3.74E-01,-7.00E-07
1.00E+00,-3.84E-01,-7.44E-07
1.00E+00,-3.94E-01,-6.93E-07
1.00E+00,-4.04E-01,-7.75E-07
1.00E+00,-4.14E-01,-8.34E-07
1.00E+00,-4.24E-01,-8.62E-07
1.00E+00,-4.34E-01,-9.54E-07
1.00E+00,-4.44E-01,-1.03E-06
1.00E+00,-4.55E-01,-1.11E-06
1.00E+00,-4.65E-01,-1.20E-06
1.00E+00,-4.75E-01,-1.29E-06
1.00E+00,-4.85E-01,-1.39E-06
1.00E+00,-4.95E-01,-1.50E-06
1.00E+00,-5.05E-01,-1.61E-06
1.00E+00,-5.15E-01,-1.74E-06
1.00E+00,-5.25E-01,-1.86E-06
1.00E+00,-5.35E-01,-2.00E-06
1.00E+00,-5.45E-01,-2.15E-06
1.00E+00,-5.56E-01,-2.30E-06
1.00E+00,-5.66E-01,-2.49E-06
1.00E+00,-5.76E-01,-2.66E-06
1.00E+00,-5.86E-01,-2.83E-06
1.00E+00,-5.96E-01,-3.01E-06
1.00E+00,-6.06E-01,-3.21E-06
1.00E+00,-6.16E-01,-3.44E-06
1.00E+00,-6.26E-01,-3.73E-06
1.00E+00,-6.36E-01,-4.00E-06
1.00E+00,-6.46E-01,-4.26E-06
1.00E+00,-6.57E-01,-4.52E-06
1.00E+00,-6.67E-01,-4.81E-06
1.00E+00,-6.77E-01,-5.06E-06
1.00E+00,-6.87E-01,-5.38E-06
1.00E+00,-6.97E-01,-5.66E-06
1.00E+00,-7.07E-01,-6.12E-06
1.00E+00,-7.17E-01,-6.46E-06
1.00E+00,-7.27E-01,-6.78E-06
1.00E+00,-7.37E-01,-7.17E-06
1.00E+00,-7.47E-01,-7.57E-06
1.00E+00,-7.58E-01,-7.91E-06
1.00E+00,-7.68E-01,-8.37E-06
1.00E+00,-7.78E-01,-8.88E-06
1.00E+00,-7.88E-01,-9.26E-06
1.00E+00,-7.98E-01,-9.71E-06
